clusters,iteration,Calinski-Harabasz
3,EMA100,162.09364
4,EMA100,176.63523
5,EMA100,174.7593
6,EMA100,165.80613
7,EMA100,155.65876
8,EMA100,147.52335
3,EMA200,264.24866
4,EMA200,223.04497
5,EMA200,234.08978
6,EMA200,223.29477
7,EMA200,213.96943
8,EMA200,204.70739
3,EMA50,152.29227
4,EMA50,142.38443
5,EMA50,148.64263
6,EMA50,131.8696
7,EMA50,128.57423
8,EMA50,119.82216
3,Price,202.6565
4,Price,166.39119
5,Price,150.81801
6,Price,138.08525
7,Price,127.38651
8,Price,116.02494
