clusters,iteration,Calinski-Harabasz
3,EMA100,174.93681
4,EMA100,160.88645
5,EMA100,175.91492
6,EMA100,156.12337
7,EMA100,146.92903
8,EMA100,137.62462
3,EMA200,261.589
4,EMA200,220.73253
5,EMA200,252.82182
6,EMA200,237.0688
7,EMA200,210.24503
8,EMA200,200.70351
3,EMA50,145.90886
4,EMA50,140.13176
5,EMA50,145.28591
6,EMA50,135.27221
7,EMA50,127.32977
8,EMA50,111.73865
3,Price,156.96791
4,Price,146.80573
5,Price,138.7959
6,Price,137.48863
7,Price,121.97587
8,Price,112.65629
