clusters,method,time
3,sktime-TimeSeriesKMeans,69.29339
4,sktime-TimeSeriesKMeans,111.28479
5,sktime-TimeSeriesKMeans,141.35589
6,sktime-TimeSeriesKMeans,167.38264
7,sktime-TimeSeriesKMeans,284.67246
8,sktime-TimeSeriesKMeans,294.21648
3,sktime-TimeSeriesKMedoids,53.09037
4,sktime-TimeSeriesKMedoids,67.08167
5,sktime-TimeSeriesKMedoids,90.52173
6,sktime-TimeSeriesKMedoids,103.89567
7,sktime-TimeSeriesKMedoids,120.09942
8,sktime-TimeSeriesKMedoids,131.79593
3,tslearn-KernelKMeans,0.01923
4,tslearn-KernelKMeans,0.0212
5,tslearn-KernelKMeans,0.01853
6,tslearn-KernelKMeans,0.01846
7,tslearn-KernelKMeans,0.01262
8,tslearn-KernelKMeans,0.01102
3,tslearn-KShape,1.8354
4,tslearn-KShape,2.02525
5,tslearn-KShape,2.47211
6,tslearn-KShape,4.44697
7,tslearn-KShape,3.8516
8,tslearn-KShape,4.1581
3,tslearn-TimeSeriesKMeans,121.87651
4,tslearn-TimeSeriesKMeans,119.24014
5,tslearn-TimeSeriesKMeans,115.26078
6,tslearn-TimeSeriesKMeans,115.7503
7,tslearn-TimeSeriesKMeans,125.13396
8,tslearn-TimeSeriesKMeans,163.0745
