clusters,method,Calinski-Harabasz
3,sktime-TimeSeriesKMeans,152.29227
4,sktime-TimeSeriesKMeans,142.38443
5,sktime-TimeSeriesKMeans,148.64263
6,sktime-TimeSeriesKMeans,131.8696
7,sktime-TimeSeriesKMeans,128.57423
8,sktime-TimeSeriesKMeans,119.82216
3,sktime-TimeSeriesKMedoids,145.90886
4,sktime-TimeSeriesKMedoids,140.13176
5,sktime-TimeSeriesKMedoids,145.28591
6,sktime-TimeSeriesKMedoids,135.27221
7,sktime-TimeSeriesKMedoids,127.32977
8,sktime-TimeSeriesKMedoids,111.73865
3,tslearn-KernelKMeans,133.56395
4,tslearn-KernelKMeans,129.41559
5,tslearn-KernelKMeans,115.44754
6,tslearn-KernelKMeans,108.7299
7,tslearn-KernelKMeans,106.43299
8,tslearn-KernelKMeans,88.89396
3,tslearn-KShape,86.36398
4,tslearn-KShape,67.84941
5,tslearn-KShape,62.27887
6,tslearn-KShape,54.1329
7,tslearn-KShape,60.96515
8,tslearn-KShape,67.33407
3,tslearn-TimeSeriesKMeans,89.23876
4,tslearn-TimeSeriesKMeans,61.96224
5,tslearn-TimeSeriesKMeans,66.13015
6,tslearn-TimeSeriesKMeans,67.7455
7,tslearn-TimeSeriesKMeans,72.50514
8,tslearn-TimeSeriesKMeans,68.24706
