clusters,method,Davies-Bouldin
3,sktime-TimeSeriesKMeans,0.74502
4,sktime-TimeSeriesKMeans,0.83846
5,sktime-TimeSeriesKMeans,1.08418
6,sktime-TimeSeriesKMeans,1.0989
7,sktime-TimeSeriesKMeans,1.12195
8,sktime-TimeSeriesKMeans,1.30351
3,sktime-TimeSeriesKMedoids,1.06142
4,sktime-TimeSeriesKMedoids,1.14173
5,sktime-TimeSeriesKMedoids,1.12173
6,sktime-TimeSeriesKMedoids,1.26913
7,sktime-TimeSeriesKMedoids,1.21937
8,sktime-TimeSeriesKMedoids,1.33597
3,tslearn-KernelKMeans,0.87947
4,tslearn-KernelKMeans,0.89975
5,tslearn-KernelKMeans,1.03817
6,tslearn-KernelKMeans,0.95209
7,tslearn-KernelKMeans,0.88778
8,tslearn-KernelKMeans,1.04681
3,tslearn-KShape,1.27735
4,tslearn-KShape,1.64424
5,tslearn-KShape,1.53701
6,tslearn-KShape,1.62003
7,tslearn-KShape,1.41068
8,tslearn-KShape,1.49712
3,tslearn-TimeSeriesKMeans,1.40187
4,tslearn-TimeSeriesKMeans,1.46684
5,tslearn-TimeSeriesKMeans,1.39103
6,tslearn-TimeSeriesKMeans,1.2321
7,tslearn-TimeSeriesKMeans,1.375
8,tslearn-TimeSeriesKMeans,1.34468
