clusters,method,Silhouette
3,sktime-TimeSeriesKMeans,0.34914
4,sktime-TimeSeriesKMeans,0.31254
5,sktime-TimeSeriesKMeans,0.29916
6,sktime-TimeSeriesKMeans,0.25542
7,sktime-TimeSeriesKMeans,0.23536
8,sktime-TimeSeriesKMeans,0.18806
3,sktime-TimeSeriesKMedoids,0.35251
4,sktime-TimeSeriesKMedoids,0.28006
5,sktime-TimeSeriesKMedoids,0.2742
6,sktime-TimeSeriesKMedoids,0.24425
7,sktime-TimeSeriesKMedoids,0.211
8,sktime-TimeSeriesKMedoids,0.18006
3,tslearn-KernelKMeans,0.4684
4,tslearn-KernelKMeans,0.42344
5,tslearn-KernelKMeans,0.33483
6,tslearn-KernelKMeans,0.35671
7,tslearn-KernelKMeans,0.33635
8,tslearn-KernelKMeans,0.305
3,tslearn-KShape,0.35041
4,tslearn-KShape,0.27243
5,tslearn-KShape,0.18889
6,tslearn-KShape,0.15832
7,tslearn-KShape,0.1715
8,tslearn-KShape,0.19049
3,tslearn-TimeSeriesKMeans,0.30606
4,tslearn-TimeSeriesKMeans,0.19894
5,tslearn-TimeSeriesKMeans,0.2096
6,tslearn-TimeSeriesKMeans,0.2111
7,tslearn-TimeSeriesKMeans,0.16154
8,tslearn-TimeSeriesKMeans,0.15416
