clusters,method,Calinski-Harabasz
3,sktime-TimeSeriesKMeans,202.6565
4,sktime-TimeSeriesKMeans,166.39119
5,sktime-TimeSeriesKMeans,150.81801
6,sktime-TimeSeriesKMeans,138.08525
7,sktime-TimeSeriesKMeans,127.38651
8,sktime-TimeSeriesKMeans,116.02494
3,sktime-TimeSeriesKMedoids,156.96791
4,sktime-TimeSeriesKMedoids,146.80573
5,sktime-TimeSeriesKMedoids,138.7959
6,sktime-TimeSeriesKMedoids,137.48863
7,sktime-TimeSeriesKMedoids,121.97587
8,sktime-TimeSeriesKMedoids,112.65629
3,tslearn-KernelKMeans,76.26866
4,tslearn-KernelKMeans,65.0909
5,tslearn-KernelKMeans,58.55129
6,tslearn-KernelKMeans,53.37707
7,tslearn-KernelKMeans,49.94001
8,tslearn-KernelKMeans,46.27471
3,tslearn-KShape,41.65891
4,tslearn-KShape,34.66401
5,tslearn-KShape,32.98646
6,tslearn-KShape,30.27103
7,tslearn-KShape,23.42249
8,tslearn-KShape,22.8991
3,tslearn-TimeSeriesKMeans,47.36585
4,tslearn-TimeSeriesKMeans,49.22089
5,tslearn-TimeSeriesKMeans,33.60285
6,tslearn-TimeSeriesKMeans,38.18084
7,tslearn-TimeSeriesKMeans,30.11993
8,tslearn-TimeSeriesKMeans,29.40469
