clusters,method,Davies-Bouldin
3,sktime-TimeSeriesKMeans,0.74759
4,sktime-TimeSeriesKMeans,0.89229
5,sktime-TimeSeriesKMeans,1.26742
6,sktime-TimeSeriesKMeans,1.3033
7,sktime-TimeSeriesKMeans,1.2746
8,sktime-TimeSeriesKMeans,1.26938
3,sktime-TimeSeriesKMedoids,1.01451
4,sktime-TimeSeriesKMedoids,1.65602
5,sktime-TimeSeriesKMedoids,1.60661
6,sktime-TimeSeriesKMedoids,1.37301
7,sktime-TimeSeriesKMedoids,1.5329
8,sktime-TimeSeriesKMedoids,1.59477
3,tslearn-KernelKMeans,1.05873
4,tslearn-KernelKMeans,1.29947
5,tslearn-KernelKMeans,1.19353
6,tslearn-KernelKMeans,1.1993
7,tslearn-KernelKMeans,1.27453
8,tslearn-KernelKMeans,1.19377
3,tslearn-KShape,1.89501
4,tslearn-KShape,2.21648
5,tslearn-KShape,2.18433
6,tslearn-KShape,2.24508
7,tslearn-KShape,2.20296
8,tslearn-KShape,2.20913
3,tslearn-TimeSeriesKMeans,1.85258
4,tslearn-TimeSeriesKMeans,1.60945
5,tslearn-TimeSeriesKMeans,2.14418
6,tslearn-TimeSeriesKMeans,1.81599
7,tslearn-TimeSeriesKMeans,2.14088
8,tslearn-TimeSeriesKMeans,2.4939
