clusters,method,Silhouette
3,sktime-TimeSeriesKMeans,0.31641
4,sktime-TimeSeriesKMeans,0.22191
5,sktime-TimeSeriesKMeans,0.18791
6,sktime-TimeSeriesKMeans,0.18599
7,sktime-TimeSeriesKMeans,0.15857
8,sktime-TimeSeriesKMeans,0.15201
3,sktime-TimeSeriesKMedoids,0.30877
4,sktime-TimeSeriesKMedoids,0.23769
5,sktime-TimeSeriesKMedoids,0.21378
6,sktime-TimeSeriesKMedoids,0.19654
7,sktime-TimeSeriesKMedoids,0.15727
8,sktime-TimeSeriesKMedoids,0.1428
3,tslearn-KernelKMeans,0.4182
4,tslearn-KernelKMeans,0.30778
5,tslearn-KernelKMeans,0.32494
6,tslearn-KernelKMeans,0.32929
7,tslearn-KernelKMeans,0.2661
8,tslearn-KernelKMeans,0.28385
3,tslearn-KShape,0.23913
4,tslearn-KShape,0.15986
5,tslearn-KShape,0.164
6,tslearn-KShape,0.10966
7,tslearn-KShape,0.06737
8,tslearn-KShape,0.06261
3,tslearn-TimeSeriesKMeans,0.18227
4,tslearn-TimeSeriesKMeans,0.23217
5,tslearn-TimeSeriesKMeans,0.16223
6,tslearn-TimeSeriesKMeans,0.10555
7,tslearn-TimeSeriesKMeans,0.07535
8,tslearn-TimeSeriesKMeans,0.05193
