clusters,method,time
3,sktime-TimeSeriesKMeans,58.49162
4,sktime-TimeSeriesKMeans,157.13131
5,sktime-TimeSeriesKMeans,156.6992
6,sktime-TimeSeriesKMeans,173.25488
7,sktime-TimeSeriesKMeans,185.55526
8,sktime-TimeSeriesKMeans,288.04764
3,sktime-TimeSeriesKMedoids,66.8356
4,sktime-TimeSeriesKMedoids,77.97524
5,sktime-TimeSeriesKMedoids,97.68993
6,sktime-TimeSeriesKMedoids,113.63193
7,sktime-TimeSeriesKMedoids,125.35004
8,sktime-TimeSeriesKMedoids,138.99078
3,tslearn-KernelKMeans,0.01639
4,tslearn-KernelKMeans,0.01822
5,tslearn-KernelKMeans,0.01984
6,tslearn-KernelKMeans,0.01824
7,tslearn-KernelKMeans,0.01794
8,tslearn-KernelKMeans,0.01622
3,tslearn-KShape,0.92161
4,tslearn-KShape,1.40967
5,tslearn-KShape,1.93568
6,tslearn-KShape,2.11765
7,tslearn-KShape,2.57711
8,tslearn-KShape,2.55871
3,tslearn-TimeSeriesKMeans,38.85954
4,tslearn-TimeSeriesKMeans,54.96351
5,tslearn-TimeSeriesKMeans,46.99137
6,tslearn-TimeSeriesKMeans,57.97618
7,tslearn-TimeSeriesKMeans,48.55776
8,tslearn-TimeSeriesKMeans,49.50758
